study_accession,accession,condition,run,fq1,fq2
GSE139505,GSM4142619,SCC,SRR10357040,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357040_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357040_2.fastq
GSE139505,GSM4142620,SCC,SRR10357041,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357041_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357041_2.fastq
GSE139505,GSM4142621,SCC,SRR10357042,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357042_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357042_2.fastq
GSE139505,GSM4142622,SCC,SRR10357043,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357043_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR10357043_2.fastq
GSE156171,GSM4725965,BCC,SRR12446366,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446366_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446366_2.fastq
GSE156171,GSM4725966,BCC,SRR12446367,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446367_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446367_2.fastq
GSE156171,GSM4725967,BCC,SRR12446368,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446368_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446368_2.fastq
GSE156171,GSM4725968,BCC,SRR12446369,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446369_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446369_2.fastq
GSE156171,GSM4725969,BCC,SRR12446370,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446370_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446370_2.fastq
GSE156171,GSM4725970,BCC,SRR12446371,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446371_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446371_2.fastq
GSE156171,GSM4725971,BCC,SRR12446372,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446372_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446372_2.fastq
GSE156171,GSM4725972,BCC,SRR12446373,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446373_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446373_2.fastq
GSE156171,GSM4725973,BCC,SRR12446374,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446374_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446374_2.fastq
GSE156171,GSM4725974,BCC,SRR12446375,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446375_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446375_2.fastq
GSE156171,GSM4725975,BCC,SRR12446376,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446376_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446376_2.fastq
GSE156171,GSM4725976,BCC,SRR12446377,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446377_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446377_2.fastq
GSE156171,GSM4725977,BCC,SRR12446378,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446378_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446378_2.fastq
